SA4_CODE21,SA4_NAME,year,net_migration_nim,net_migration_nom,population,total_net_migration
205.0,Latrobe - Gippsland,2024.0,2343.0,1173.0,311434.0,3516.0
306.0,Cairns,2024.0,275.0,3135.0,269399.0,3410.0
108.0,Mid North Coast,2024.0,2539.0,776.0,236760.0,3315.0
201.0,Ballarat,2024.0,2346.0,924.0,182460.0,3270.0
124.0,Sydney - Outer West and Blue Mountains,2024.0,314.0,2718.0,346325.0,3032.0
314.0,Moreton Bay - South,2024.0,453.0,2366.0,236402.0,2819.0
102.0,Central Coast,2024.0,278.0,2530.0,354803.0,2808.0
214.0,Mornington Peninsula,2024.0,103.0,2583.0,316065.0,2686.0
101.0,Capital Region,2024.0,1124.0,1423.0,246087.0,2547.0
112.0,Richmond - Tweed,2024.0,837.0,1634.0,262811.0,2471.0
308.0,Central Queensland,2024.0,1218.0,1237.0,241735.0,2455.0
318.0,Townsville,2024.0,556.0,1744.0,247234.0,2300.0
122.0,Sydney - Northern Beaches,2024.0,-2924.0,5153.0,270772.0,2229.0
128.0,Sydney - Sutherland,2024.0,-58.0,2250.0,237345.0,2192.0
317.0,Toowoomba,2024.0,583.0,1606.0,173649.0,2189.0
407.0,South Australia - South East,2024.0,1081.0,985.0,203132.0,2066.0
204.0,Hume,2024.0,1064.0,914.0,189637.0,1978.0
509.0,Western Australia - Wheat Belt,2024.0,943.0,999.0,147036.0,1942.0
312.0,Mackay - Isaac - Whitsunday,2024.0,428.0,1311.0,192302.0,1739.0
104.0,Coffs Harbour - Grafton,2024.0,820.0,835.0,150563.0,1655.0
114.0,Southern Highlands and Shoalhaven,2024.0,776.0,797.0,164054.0,1573.0
202.0,Bendigo,2024.0,767.0,802.0,172754.0,1569.0
405.0,Barossa - Yorke - Mid North,2024.0,986.0,270.0,119770.0,1256.0
109.0,Murray,2024.0,656.0,599.0,127464.0,1255.0
103.0,Central West,2024.0,-31.0,849.0,216000.0,818.0
307.0,Darling Downs - Maranoa,2024.0,344.0,451.0,133617.0,795.0
511.0,Western Australia - Outback (South),2024.0,-460.0,976.0,126795.0,516.0
601.0,Hobart,2024.0,-2000.0,2484.0,254930.0,484.0
110.0,New England and North West,2024.0,-591.0,1041.0,190289.0,450.0
216.0,Shepparton,2024.0,-471.0,889.0,138837.0,418.0
603.0,South East,2024.0,254.0,152.0,44284.0,406.0
604.0,West and North West,2024.0,-107.0,405.0,120033.0,298.0
510.0,Western Australia - Outback (North),2024.0,-775.0,1038.0,100680.0,263.0
217.0,Warrnambool and South West,2024.0,-439.0,662.0,128557.0,223.0
602.0,Launceston and North East,2024.0,-704.0,909.0,156249.0,205.0
113.0,Riverina,2024.0,-1041.0,1102.0,165852.0,61.0
901.0,Other Territories,2024.0,0.0,35.0,4994.0,35.0
406.0,South Australia - Outback,2024.0,-313.0,310.0,85946.0,-3.0
701.0,Darwin,2024.0,-2751.0,2740.0,152489.0,-11.0
702.0,Northern Territory - Outback,2024.0,-1024.0,872.0,102580.0,-152.0
105.0,Far West and Orana,2024.0,-729.0,482.0,118081.0,-247.0
215.0,North West,2024.0,-1374.0,981.0,154493.0,-393.0
315.0,Queensland - Outback,2024.0,-911.0,420.0,82427.0,-491.0
,,,,,,
